
119,2048,'0\%',0.48,0.048,1,Movie,5.412067,5.33355,0,240,396,31.933333,0,40.866667,2,2000.222222,748.747217,8,4,9,6784.45,'Radeon HD 7470','1920 x 1200',508x317,154,DVI-0,1600,4096,2
153,2048,'0\%',0.407,0.061,1,Movie,5.412067,5.33355,0,240,396,32,0,40.866667,0,1633.666667,769.213307,4,2,7,4988.5,'Radeon HD 7610M','1366 x 768',361x203,76.5,LVDS,1333,4096,3
158,2048,'0\%',0.334,0.028,1,Movie,5.412067,5.33355,0,240,396,31.933333,0,40.866667,2,2800.666667,848.999542,8,4,9,6784.45,'Radeon HD 7470','1920 x 1200',508x317,154,DVI-0,1600,4096,3
149,2048,'0\%',0.435,0.093,1,Movie,5.412067,5.33355,0,240,476,32.4,0,42.933333,5,600,0,2,1,1,3192.14,'VGA compatible controller','1024 x 600',270x158,58.8,LVDS,533,1024,3
144,2048,'0\%',0.386,0.052,2,Cartoon,9.197309,5.874106,2,240,529,32,0,40.866667,2,1600,0,8,4,9,6784.7,'Radeon HD 7470','1920 x 1200',508x317,154,DVI-0,1600,4096,3
218,3072,'0\%',0.454,0.051,1,Movie,5.412067,5.33355,0,360,564,31.666667,0,55.466667,2,1800.111111,565.999695,8,4,9,6784.85,'Radeon HD 7470','1920 x 1200',508x317,154,DVI-0,1600,4096,4
164,2048,'0\%',0.335,0.036,2,Cartoon,9.197309,5.874106,2,240,571,32,0,40.866667,0,540.666667,111.002503,2,1,1,3192.11,'VGA compatible controller','1024 x 600',270x158,58.8,LVDS,533,1024,3
107,1024,'0\%',0.393,0.026,1,Movie,5.412067,5.33355,0,360,607,31.8,0,57.466667,0,1178,707.173246,4,2,7,4988.61,'Radeon HD 7610M','1366 x 768',361x203,76.5,LVDS,1333,4096,4
136,2048,'0\%',0.444,0.084,2,Cartoon,9.197309,5.874106,2,240,619,32.5,0,41.5,2,1666.888889,1024.528883,8,3,9,6784.67,'Radeon HD 7470','1920 x 1200',508x317,154,DVI-0,1600,4096,3
219,3072,'0\%',0.324,0.032,1,Movie,5.412067,5.33355,0,360,626,34.133333,0,61.466667,2,1800.111111,565.999695,8,4,9,6784.45,'Radeon HD 7470','1920 x 1200',508x317,154,DVI-0,1600,4096,4
44,1024,'0\%',0.426,0.049,2,Cartoon,9.197309,5.874106,2,240,671,32,0,40.866667,0,989,534.572727,4,2,7,4988.5,'Radeon HD 7610M','1366 x 768',361x203,76.5,LVDS,1333,4096,3
177,2560,'0\%',0.302,0.054,2,Cartoon,9.197309,5.874106,2,240,689,14.583333,0.75,40.083333,0,570.333333,83.910005,2,1,1,3191.65,'VGA compatible controller','1024 x 600',270x158,58.8,LVDS,533,1024,3
179,2560,'0\%',0.415,0.054,2,Cartoon,9.197309,5.874106,2,360,711,25.266667,1.2,44.8,6,2400.777778,221.460194,4,2,7,4988.76,'Radeon HD 7610M','1366 x 768',361x203,76.5,LVDS,1333,4096,4
130,2048,'0\%',0.489,0.072,3,Movie,6.422284,5.874106,0,240,732,22.466667,0.4,43.733333,3.4,2200.333333,848.999542,8,4,9,6784.63,'Radeon HD 7470','1920 x 1200',508x317,154,DVI-0,1600,4096,3
